kind,point_index,minor_r_m,major_r_m,z_m
wall,66,-4.2420234614e-01,1.4257976539e+00,8.6431266199e-01
wall,67,-4.3769870351e-01,1.4123012965e+00,8.4495412863e-01
wall,68,-4.5074850472e-01,1.3992514953e+00,8.2469079723e-01
wall,69,-4.6334831379e-01,1.3866516862e+00,8.0354436627e-01
wall,70,-4.7549520131e-01,1.3745047987e+00,7.8153747987e-01
wall,71,-4.8718670806e-01,1.3628132919e+00,7.5869370357e-01
wall,72,-4.9842080886e-01,1.3515791911e+00,7.3503749904e-01
wall,73,-5.0919587685e-01,1.3408041231e+00,7.1059419795e-01
wall,74,-5.1951064843e-01,1.3304893516e+00,6.8538997480e-01
wall,75,-5.2936418883e-01,1.3206358112e+00,6.5945181889e-01
wall,76,-5.3875585855e-01,1.3112441415e+00,6.3280750545e-01
wall,77,-5.4768528067e-01,1.3023147193e+00,6.0548556589e-01
wall,78,-5.5615230924e-01,1.2938476908e+00,5.7751525722e-01
wall,79,-5.6415699874e-01,1.2858430013e+00,5.4892653075e-01
wall,80,-5.7169957468e-01,1.2783004253e+00,5.1975000000e-01
wall,81,-5.7878040559e-01,1.2712195944e+00,4.9001690793e-01
wall,82,-5.8539997614e-01,1.2646000239e+00,4.5975909348e-01
wall,83,-5.9155886187e-01,1.2584411381e+00,4.2900895748e-01
wall,84,-5.9725770512e-01,1.2527422949e+00,3.9779942794e-01
wall,85,-6.0249719266e-01,1.2475028073e+00,3.6616392481e-01
wall,86,-6.0727803467e-01,1.2427219653e+00,3.3413632418e-01
wall,87,-6.1160094537e-01,1.2383990546e+00,3.0175092201e-01
wall,88,-6.1546662526e-01,1.2345333747e+00,2.6904239738e-01
wall,89,-6.1887574490e-01,1.2311242551e+00,2.3604577542e-01
wall,90,-6.2182893038e-01,1.2281710696e+00,2.0279638974e-01
wall,91,-6.2432675051e-01,1.2256732495e+00,1.6932984459e-01
wall,92,-6.2636970557e-01,1.2236302944e+00,1.3568197681e-01
wall,93,-6.2795821785e-01,1.2220417821e+00,1.0188881737e-01
wall,94,-6.2909262390e-01,1.2209073761e+00,6.7986552835e-02
wall,95,-6.2977316843e-01,1.2202268316e+00,3.4011486593e-02
wall,96,-6.3000000000e-01,1.2200000000e+00,1.2730203477e-16
wall,97,-6.2977316843e-01,1.2202268316e+00,-3.4011486593e-02
wall,98,-6.2909262390e-01,1.2209073761e+00,-6.7986552835e-02
wall,99,-6.2795821785e-01,1.2220417821e+00,-1.0188881737e-01
wall,100,-6.2636970557e-01,1.2236302944e+00,-1.3568197681e-01
