kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,5.2915411026e-01,2.3791541103e+00,6.5101184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.0862676056e-01,2.3586267606e+00,6.7664395322e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.0674533736e-01,2.3567453374e+00,6.7871447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.8602112676e-01,2.3360211268e+00,7.0103949553e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.8029249741e-01,2.3302924974e+00,7.0641710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.6341549296e-01,2.3134154930e+00,7.2215473580e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.4850470160e-01,2.2985047016e+00,7.3411973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.4080985915e-01,2.2908098592e+00,7.4033813746e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.1820422535e-01,2.2682042254e+00,7.5624874944e-01,1.0000000000e+00,2.1287019677e-01
lcfs,4.0902559554e-01,2.2590255955e+00,7.6182236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.9559859155e-01,2.2455985915e+00,7.7020052137e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.7299295775e-01,2.2229929577e+00,7.8227468831e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.5694268498e-01,2.2069426850e+00,7.8952500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.5038732394e-01,2.2003873239e+00,7.9262498279e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.2778169014e-01,2.1777816901e+00,8.0184552381e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.0517605634e-01,2.1551760563e+00,8.0945617677e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.8257042254e-01,2.1325704225e+00,8.1565880595e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.7555613515e-01,2.1255561351e+00,8.1722763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.5996478873e-01,2.1099647887e+00,8.2098536711e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.3735915493e-01,2.0873591549e+00,8.2523706416e-01,1.0000000000e+00,2.1287019677e-01
lcfs,2.1475352113e-01,2.0647535211e+00,8.2834067784e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.9214788732e-01,2.0421478873e+00,8.3036787508e-01,1.0000000000e+00,2.1287019677e-01
